,atr,rsi,adx,sortino,signal
ZI,15.4025297164917,-0.0019229650497436523,0.03053426136177201,-0.0019018640123390702,Hold
PFE,26.5992488861084,0.0004068613052368164,0.0695185658750964,-0.020584382682855864,Hold
NU,11.9767427444458,0.00037229061126708984,0.016105543177416217,0.05798202564661066,Hold
F,13.265337944030762,-2.8312206268310547e-05,0.02190303341035768,0.006354032990821026,Hold
GOOGL,152.37179565429688,0.0014213323593139648,0.19643570280039868,0.006018543155698702,Hold
Z,47.339664459228516,0.0003732442855834961,0.30854781544537935,-0.018192430119090407,Buy
MRNA,103.13207244873047,-0.001781463623046875,0.42508537722810785,0.03169548071309727,Buy
AAPL,170.25863647460938,5.0067901611328125e-05,0.21139430250851804,-0.04305490494315019,Hold
NKE,89.3239974975586,3.0875205993652344e-05,0.20273889338591983,-0.024488429198238064,Hold
T,17.472036361694336,1.52587890625e-05,0.05061506490473025,0.023385538745496433,Hold
AAL,13.818282127380371,0.00014030933380126953,0.024228307448663416,-0.018860130422115786,Hold
BAC,37.24626541137695,-7.867813110351562e-06,-0.0016341433170637884,0.04989328728168819,Hold
SPY,509.4944763183594,6.628036499023438e-05,0.3408575166883188,0.016823798300324606,Buy
TQQQ,59.48106002807617,-0.0005818009376525879,0.1518010075748731,0.003343769149366058,Hold
QQQ,436.92498779296875,-0.00048089027404785156,0.44872892534082,0.004534827485347072,Buy
IWF,331.2354736328125,-7.450580596923828e-06,0.259097104681819,0.00797607681369499,Buy
XLK,205.36932373046875,-0.0001971721649169922,0.2113773325010363,0.0009636827352931783,Hold
IEF,94.66169738769531,-0.0001380443572998047,0.03580060765462476,0.0045484938079294,Hold
IOO,86.6124267578125,-0.00044101476669311523,0.036926996133367584,0.015378265377835735,Hold
VIOO,98.22900390625,-0.00019341707229614258,0.07060981970442233,0.0051168073121386866,Hold
SPTM,62.377071380615234,7.843971252441406e-05,0.03485859888937727,0.03714147029373703,Hold
ICLN,14.076534271240234,-0.00038552284240722656,0.02140734682237602,-0.014306136339981573,Hold
USDT-USD,0.9998859167098999,3.230571746826172e-05,0.0034710593094748306,-0.00014765510682762054,Hold
SOL-USD,181.88401794433594,0.0001367330551147461,0.47037112278935767,0.014989932922331554,Buy
USDC-USD,1.0006357431411743,-3.421306610107422e-05,0.000675979920330643,5.486400519582305e-07,Hold
ZB=F,120.5617446899414,8.940696716308594e-06,0.10051695843332617,-0.003777972048996876,Hold
HG=F,3.84413480758667,-0.00010377168655395508,0.0028653638054080346,0.026782181735452475,Hold
ZC=F,444.0000915527344,-0.0006553530693054199,0.5893610696961613,-1.4628355662806692e-05,Buy
ZM=F,341.2303466796875,-2.4974346160888672e-05,0.20512682513017907,-0.0007291059388575861,Hold
GC=F,2072.479736328125,2.276897430419922e-05,0.7279234350015397,0.01615105673672502,Buy
SB=F,21.69816780090332,-0.0018205642700195312,0.046242391749839025,-0.007828752405506947,Hold
